iShares Russell 3000 ETF
Fund Holdings as of,"Jul 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RTX","RTX CORP","Industrials","Equity","77,930,507.28","0.40","77,930,507.28","366,232.00","212.79","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","74,765,967.48","0.38","74,765,967.48","355,149.00","210.52","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","74,132,561.25","0.38","74,132,561.25","73,055.00","1,014.75","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","74,111,786.84","0.38","74,111,786.84","602,927.00","122.92","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","71,787,220.47","0.37","71,787,220.47","831,737.00","86.31","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","70,891,230.18","0.36","70,891,230.18","218,942.00","323.79","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","69,027,463.26","0.36","69,027,463.26","246,897.00","279.58","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","65,265,191.60","0.34","65,265,191.60","304,295.00","214.48","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","64,134,382.32","0.33","64,134,382.32","125,194.00","512.28","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","61,147,524.87","0.31","61,147,524.87","462,573.00","132.19","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","57,360,732.66","0.30","57,360,732.66","100,941.00","568.26","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","56,754,175.92","0.29","56,754,175.92","39,507.00","1,436.56","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","55,219,593.80","0.28","55,219,593.80","146,845.00","376.04","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","54,713,978.74","0.28","54,713,978.74","255,446.00","214.19","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","53,510,711.49","0.28","53,510,711.49","465,351.00","114.99","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","52,723,902.78","0.27","52,723,902.78","1,136,781.00","46.38","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","51,052,082.24","0.26","51,052,082.24","192,824.00","264.76","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","50,888,291.58","0.26","50,888,291.58","566,811.00","89.78","United States","NYSE","USD","1.00","USD","-"
